2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=146, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=147, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=148, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=149, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=150, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=151, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=152, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=153, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=154, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=155, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=156, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=157, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=158, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=159, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=160, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=161, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=162, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=163, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=164, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=165, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=166, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=167, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=168, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=169, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=170, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=171, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=172, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=173, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=174, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=175, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=176, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=177, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=178, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=179, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=180, onoff=1 cctdlg.cpp:640
